,invasive_tumor,tumor_assoc_stroma,in_situ_tumor,healthy_glands,necrosis,inflamed_stroma,rest
invasive_tumor,642,175,8,0,1,28,4
tumor_assoc_stroma,205,558,1,0,0,48,17
in_situ_tumor,92,18,0,0,0,7,0
healthy_glands,7,8,0,0,0,2,0
necrosis,31,63,0,0,3,7,12
inflamed_stroma,87,53,0,0,0,200,1
rest,6,73,0,0,0,0,144
